,name,description,founded_date,category_list,total_funding_amout
0,Sellfy,"Sellfy - E-commerce platform that enables anyone to sell digital products directly to their fans and followers using just a link. Whether it's an e-book, music, video, photos, software, or any other type of digital content, just u...
See More
pload your product, enter the price and start selling on Twitter, Facebook or your own website. Sellfy takes care of file storage, payment processing and product delivery to the end customer.","Founded: November 01, 2011","Best Products,Delivery,Digital,E-Commerce,Platform,Products,Digital Media,Payments,Software",0
0,Retty,Retty - グルメ友達のオススメが集まる、日本最大級の実名グルメアプリRetty公式アカウントです。自分と味覚が合う人を探すと自分にぴったりの美味しいお店が見つかります。ご質問は@retty_jpまでお気軽にお願いします！,"Founded: January 01, 2011","Consumer Reviews,Restaurants,Social Media",23099999
0,Dashlane,"Dashlane is the safest and easiest way to keep track of your passwords, so you don’t have to worry about remembering or losing them. Encrypt and store your passwords locally on your device. Autofill them for you as you browse, and...
See More
 log in to your accounts automatically. Save other info in your digital wallet, such as credit cards, IDs, addresses and emails. Dashlane will autofill that info for you as well, saving you time and frustration with typing.Dashlane is available free on Mac, PC, iPhone, iPad, and Android phones and tablets, including Kindle Fire!","Founded: July 06, 2009","Safe,Encryption,Logging,Password,Cloud Computing,Identity Management,Payments,Privacy,Security,Software",52500000
0,Thinkific,Thinkific is a turn-key online course platform that makes it easy for independent experts and companies to quickly create and deliver stunning courses on their own sites.,"Founded: January 01, 2012","Education,Learning,Educational,Instructors,Platform,Internet",0
0,Zoosk,"Zoosk is the #1 dating app. Our Behavioral Matchmaking™ technology connects millions of singles every day.

Zoosk’s unique Behavioral Matchmaking™ engine learns as you click in order to pair you with singles with whom you’re lik...
See More
ely to discover mutual attraction. This means no lengthy questionnaire, just great matches based on your actions on the site.","Founded: November 01, 2007","Dating,Love,Mobile,Relationship,Matchmaking,Behavior,Apps,Social Media",61600000
0,Mixpanel,"Mixpanel's mission is to help the world learn from its data. To achieve this, we've built the most powerful web & mobile analytics platform in the world.

Mixpanel is the most advanced analytics platform for mobile & web. It hel...
See More
ps businesses grow by helping them understand how their users behave and use their products by tracking actions people take rather than page views.","Founded: June 20, 2009","Web,Analytics,Users,Dashboards,Metrics,Mobile,Web Browsers",77015000
0,4K Download,"4K Download - The program allows you to download and backup photos and videos, even from private accounts.

We make safe and useful apps for Mac, PC and Linux trusted by millions. Try Video Downloader, YouTube to MP3 tool & Instag...
See More
ram downloader, you’ll love it!

4K Download makes free, useful and crossplatform applications for Windows, Mac and Linux. Download the content from YouTube, Vimeo, DailyMotion, Instagram, convert video to MP3, create and share wonderful slideshows. Our bottom line is your enjoyment of all the wonderful media that is out there.","Founded: January 01, 2011","Backup,Downloads,Photos,Private,Videos,Web",0
0,Ruangguru,"Ruangguru is an online matchmaking platform for students and private tutors.

Ruangguru adalah perusahaan penyedia layanan dan konten pendidikan berbasis teknologi terkemuka di Indonesia.

Ruangguru adalah perusahaan penyedia laya...
See More
nan dan konten pendidikan berbasis teknologi terkemuka di Indonesia.","Founded: January 01, 2014","Education,Private Teacher,Students,Tutor,Web,Payments",0
0,YouNow,"YouNow is a place where you can discover awesome people, become a broadcasting legend and make life long friends. On YouNow your vote determines how long a broadcaster stays live on-air. As a broadcaster, you can easily gain new Y...
See More
ouTube subscribers, Twitter followers and Facebook friends! Choose from over 50 channels to watch or broadcast on. There is something for everyone!","Founded: June 01, 2011","Social,Community,Video,Broadcasting,Internet,Social Media,Video Streaming",26000000
0,MariaDB,"MariaDB is a high performance, open source database that helps the world's busiest websites deliver more content, faster.

We are the company behind MariaDB, the fastest growing Open Source database.

We are the company behind Mar...
See More
iaDB, the fastest growing Open Source database. Started by the founders of MySQL, we are passionate about reinventing the database to support today’s enterprise needs from OLTP to analytics. We also build complementary products, including MariaDB MaxScale and MariaDB ColumnStore, that are valuable for deploying MariaDB in large, mission-critical production environments. We provide world-class support and training, and we’re an active sponsor of the MariaDB Foundation, a non-profit organization dedicated to ensuring continuity and open collaboration in the MariaDB ecosystem.","Founded: April 01, 2009","Database,Web,Performance,Open Source,Databases,Technical Support,Software,Enterprise Software",95500000
0,Kiwi.com,"Kiwi.com, formerly known as Skypicker, is an online travel agency with groundbreaking Virtual Interlining technology and a focus on exceptional customer service. Our unique flight search algorithm allows our customers to combine f...
See More
lights from airlines who do not normally collaborate onto a single itinerary, often resulting in significant savings.","Founded: April 01, 2012","Air,Tickets,Europe,Travel,Travel Agency,Flights,Tourism,Leisure",1836000
0,Gurunavi,Gurunavi - 飲食店を応援し、美味しい食の輪を広げるべく、ツイートします。よろしければ、この輪に加わってください。文末にある個人アカウント名が、ツイートしている「中の人」です。どうぞよろしくお願いします。,,Restaurants,0
0,Iconfinder,"Iconfinder is a search engine and marketplace for icons. Iconfinder provides high quality icons for web designers and developers in an easy and efficient way. The site launched in 2007 as the first search engine focused on icons. ...
See More
The target audience is web designers and developers, but the icons are also used to style desktop or in presentations and reports. With millions on icons downloaded every month it is among the most popular icon sites.","Founded: May 01, 2007","Marketplaces,Search,Search Engines,Icons,Crowdsourcing,Internet,Search Engine",0
0,Anghami,"Anghami is a music app that offers you unlimited Arabic & International music to stream and download.

Anghami is the MENA’s largest music streaming app with millions of Arabic and International songs and it’s FREE!

!أنغامي هو أك...
See More
بر تطبيق موسيقى مجاني  في الشرق الأوسط وشمال أفريقيا

In a region where music is dominated by piracy, Anghami comes to fill this gap by offering a legal music alternative in an enjoyable way while making sure to implement a model that fairly remunerates artists and labels.

Anghami is the future of digital music consumption and the first service of its kind in the Middle East & North Africa.

Anghami features licensed content from leading Arabic labels such as Rotana, Platinum Records, Mazzika, Melody and many others. Anghami also features music from the major International labels such as Universal, Sony, EMI, Warner and is continuously licensing new content to bring you a complete experience from major aggregators to name a few Believe, Qanawat, ArpuPlus, MT2, Info2cell…

Today, Anghami is the number 1 Music platform in MENA region with the largest catalog comprising of more than 20 Million songs available for more than 40 Million users.

Partner with us: [email protected]
Advertise with us: [email protected]

نعيش في منطقة تهيمن فيها الموسيقى الغير الشرعية. لذلك، تقدّم أنغامي حلّ للاستماع إلى الموسيقى بشكل قانوني وبطريقة ممتعة مع نموذج يناسب الفنانين وشركات إنتاج الموسيقى .

أنغامي هو مستقبل الموسيقى الرقمية وهو أول خدمة من نوعها في الشرق الأوسط وشمال أفريقيا.

كل محتوى أنغامي مرخص من قبل أكبر شركات الإنتاج العربية مثل Rotana، Platinum Records، Mazzika، Melody وغيرها. و تتعامل أنغامي أيضاً مع شركات إنتاج العالمية الرئيسية مثل Universal، Sony، EMI، Warner، وهي تجدّد محتواها باستمرار لتقدم لك أفضل التجارب بالتعاون مع شركات التوزيع الرئيسية مثلBelieve ،Qanawat ،ArpuPlus ،MT2، Info2cell وغيرها.

اليوم، تشكل أنغامي أوّل منصة موسيقى في منطقة الشرق الأوسط وشمال أفريقيا مع أكبر كتالوج يضم أكثر من 20 مليون أغنية لأكثر من 40 مليون مستخدم.

كن شريكنا: [email protected]
انشر اعلانات معنا: [email protected]","Founded: December 01, 2011","Apps,Mobile,Music,Video Streaming",14250000
0,Venngage,"Venngage is a leading graphic design platform. It helps you create infographics, presentations and other visual designs easily with hundreds of customizable templates, charts, icons and design elements. With a few clicks anyone ca...
See More
n create beautiful visuals for their business, organization or school.","Founded: January 01, 2012","Graphic Design,Design,Infographic,DIY,Design Tool,Design Your Own",0
0,SendGrid,"Email Delivery. Simplified. Increased deliverability, APIs, & analytics. Your email infrastructure in the cloud.

SendGrid is a proven, cloud-based customer communication platform that drives engagement and business growth for t...
See More
he world’s leading and most innovative brands like Airbnb, Pandora, eBay, Spotify, Uber and FourSquare as well as more traditional enterprises such as Walmart, Intuit and Costco.

SendGrid drives digital conversations at scale by sending over 1 billion emails per day to 1.6 billion unique email addresses per month, on behalf of 45,000+ paying customers from over 100 countries around the world.","Founded: July 20, 2009","Analytics,API,Cloud,Cloud Based,Deliver,Email,Email Service,Business Information Systems,Software,Business Development,CRM",80362000
0,Tinder,"Tinder is a mobile app that finds who likes you nearby and connects you with them if you’re both interested.

Meet interesting people nearby. Download Tinder for free on iPhone and Android at tinder.com/download","Founded: September 01, 2012","Dating,Mobile App,Meet People,Mobile,Search Engine,Social Media",0
0,EyeEm,"EyeEm - Discover places & things you love, with every photo you take. Join our awesome community at www.eyeem.com and see where it takes you!

EyeEm builds technology to showcase the best images from the world’s leading photo comm...
See More
unity.

EyeEm builds technology to showcase the best images from the world’s leading photo community. We reinvent the way brands and agencies license authentic, royalty-free images and share all revenue with the creators. EyeEm is home to 18 million photographers across 150 countries.

Get the free app for:
Android bit.ly/EyeEm-Android-Play-Store 
iOS bit.ly/EyeEm-iTunes-AppStore","Founded: February 01, 2011","Image Recognition,Marketplace,Photo Sharing,Photography,Visual Search",24000000
0,Brandwatch,"Brandwatch is an amazing web-based tool to help you truly understand and harness the titanic power of online conversation. We're one of the world’s leading providers of social media monitoring and analysis. More than 500 global br...
See More
ands and agencies use Brandwatch solutions, relying on the real-time social media coverage and highly reliable, spam-free data we provide to monitor online conversations around their brand interests, glean business insights through deep data analysis, conduct market research, predict market trends, and engage with customers and prospects.","Founded: January 01, 2005","Analytics,Database,Internet,Social Media",63650000
0,Mysmartprice,"MySmartPrice is an online price comparison engine which lets you find the best price of products in Mobiles, Books, Cameras, Electronics, Computers, Appliances and Personal Care products. MySmartPrice also provides users with Deal...
See More
s and Coupons, making your online shopping more rewarding. MySmartPrice was founded in 2010 by Sitakanta and Sulakshan with a goal to create the best online shopping research platform. Today, more than million users across India make use of the service to make their shopping decision.","Founded: August 10, 2011","E-Commerce,Internet,Price Comparison,Shopping",0
0,Zenius Education,"Zenius Education is a leading education technology company in Indonesia. We produce e-learning content for K-12 students, which cover study materials from elementary to high school level, as well as preparation for the national ex...
See More
am and university entrance test. Our video-based online learning platform zenius.net was launched in 2010 and is currently equipped with more than 72,000 videos covering a wide range of subjects.

We believe that education is more than about getting good grades or a decent job. Education should be about enabling students to continually learn and grow. We hope that we can contribute to create a better society with our mission, ""Providing great learning experience to Indonesian students with an emphasis on science and reason.""","Founded: July 07, 2007","Education,E-Learning,Web,Tech Education,Apps",0
0,Intercom,"Intercom is one place for every team in an internet business to communicate with customers, personally, at scale—on your website, inside web and mobile apps, and by email.","Founded: August 01, 2011","Customer Service,Customer Loyalty,Customers,Mobile,Teams,Web,Apps,CRM,Marketing Automation,Messaging,Software",115750000
0,Magzter,"Magzter is the world's largest and fastest growing cross platform global digital magazine newsstand.

Magzter is a global digital magazine store.

www.facebook.com/mobilemagzter
www.twitter.com/mobilemagzter
www.pinterest.com/mobi...
See More
lemagzter

Magzter is a mobile magazine store for magazine publishers to publish their digital magazines and users can subscribe to various magazines through Magzter.","Founded: June 01, 2011","Books,Digital,Magazine,Mobile,Web,Read,News,Publishing",0
0,Mojok.co,Mojok.co is selow media that embodies the writings of authors who have excess energy and creativity. An alternative media with fresh content and entertained. Media for fun and fun together.,,"Web,Media,Content,Entertainment,Creativity",0
0,WHEN Token,"WhenHub Interface makes it easy for Consumers to find Experts on any topic, then video call them for knowledge-sharing. Financial details are handled with a Smart Contract using WHEN Token cryptocurrency. Interface available now i...
See More
n iOS/Android app stores.","Founded: March 19, 2018",,0
0,Windscribe,"Windscribe is not just a VPN, it’s a desktop application and browser extension that work together to protect your online privacy, unblock websites, and remove ads and trackers that follow you across the websites you visit every da...
See More
y. Never mess with confusing settings and options menus again, our minimalist applications are designed to be turned on once, and forgotten about.","Founded: July 01, 2015","Web,VPN,Browser Extension,Protection,Privacy",0
0,Musixmatch,"World's largest Lyrics Catalogue available on Mobile & Desktop.

Available on iOS, Android, WP, Spotify, Chrome, TV, Nexus TV musixmatch is currently the world’s largest and official Lyrics Catalogue with more than 40 Mln users ...
See More
worldwide and primary destination on mobile and connected devices for Songs Lyrics passionate. musixmatch has ensured worldwide agreement with top Music Publishers as Universal Publishing, Emi Publishing, Sony ATV, BMG, Warner Chappel, Kobalt Publishing, and +4000 trough Harry Fox Agency.","Founded: January 21, 2010","Apps,Machine Learning,Media and Entertainment,Music,Natural Language Processing",18900000
0,Contentful,Contentful is a flexible and future-friendly content management platform that helps editors to manage and developers to serve content into mobile or web applications.,"Founded: June 26, 2013","Apps,Content,Mobile,Web Cms,CMS,Cloud Computing,SaaS",16800000
0,PakWheels.com,"PakWheels.com is an online community of automobile enthusiasts of Pakistan. Started in 2003 as a basement project by a group of petrol-heads to gather all the automotive enthusiasts in Pakistan and discuss about the happenings in ...
See More
the automotive industry of Pakistan. PakWheels is the largest community-based automobile website in Pakistan with over 250,000 registered members.

The main purpose of PakWheels.com is to provide its users with a platform to buy and sell used vehicles online. Apart from serving this main purpose, the discussion forum on PakWheels allows users to discuss available brands of automobiles in Pakistan, the problems associated with their automobiles, their DIY projects related to cars, recommendations and suggestions. The PakWheels blog allows users to get information on the local and international automobile industry.","Founded: July 18, 2003","Automobile,Community,Social,Web,Automotive,Autonomous Vehicles,Communities",0
0,Lyst,"Lyst is a personalized fashion marketplace that allows users to create a customized shopping feed of products.

The place for seekers—with over 11,000 fashion stores & designers in one place. You are what you #seek.","Founded: January 01, 2010","Customized Merchandise,Marketplaces,Shopping,E-Commerce,Fashion,Search Engine",59950000
0,Plotly,"Plotly - It is a free, online, graphing, curve fitting, and spreadsheet tool. A place to easily analyze data together.

Plotly is the easiest and fastest way to graph and share your data online.","Founded: August 09, 2013","Online,Free,Infographic,Analytics,Big Data,Collaboration,Data Integration,Data Visualization,Education,Software",10113948
0,TwitCasting,TwitCasting is a service to let you stream live video and tweet simultaneously from your iPhone. TwitCasting is best optimized to work well under the 3G network.,,"Internet,Video",0
0,Olacabs,"Olacabs is India's largest online cab aggregator focused on providing better cab service & experience to customers.

Getting people where they need to be, since 2011.","Founded: December 03, 2010","Apps,E-Commerce,Internet,Mobile,Ride Sharing,Transportation",19448630000
0,Klarna,"Klarna - We're one of the world's fastest growing companies, building the payment solutions of tomorrow.

Welcome to our page! We're here to respond to your questions, tips or whatever you want to say. Don't hesitate to get in tou...
See More
ch with us!","Founded: February 11, 2005","E-Commerce,Fintech,Financial Services,Payments",907260000
0,Coub,"Coub - A coub is a looped video up to 10 seconds long. Get Inspired and create your own coubs from videos you like.

A coub is a looped video up to 10 seconds long. Get inspired and create your own coubs from videos you like. coub...
See More
.com/

iOS app: itunes.apple.com/us/app/coub/id714042522","Founded: January 01, 2012","Social Video,Videos,Video Discover,Live Video,Photography,Video",3620000
0,Nutanix,"Nutanix delivers web-scale IT infrastructure to all enterprises, natively converging compute and storage to drive unprecedented simplicity in datacenters.","Founded: January 01, 2009","Enterprise,IT,Web,Storage,Infrastructure,Data Center,Enterprise Software,Virtualization",393706044
0,Bloglovin,"Bloglovin - All your favorite blogs in one place. Add the blogs you want to follow and you'll get all of their new posts in a feed on Bloglovin! And yes, you can add any blog. Follow your favorite blogs and discover new ones.","Founded: November 01, 2008","Blog,Bloggers,Blogging,Blogs,Beauty,E-Commerce,Fashion,Lifestyle",98000000
0,Hotmart,"Hotmart helps people sell their digital products online through a self serving platform.

Venda produtos digitais com simplicidade e segurança.

A Hotmart é a plataforma mais completa para quem deseja criar um negócio digital.

Ve...
See More
nda produtos digitais com simplicidade e segurança. 

A Hotmart é a plataforma mais completa para quem deseja criar um negócio digital. 

Precisa de ajuda? Fale conosco em: 
hotmart.com/support :)","Founded: April 19, 2011","Digital Marketing,Marketplaces,Online,Products,Sell,Web,Affiliate Marketing,Software",0
0,Outbrain,"Outbrain is the leading content discovery platform that powers personalized recommendations to content on most leading publisher websites online such as CNN, USA Today, Fox News and Slate, serving over 30 billion recommendations e...
See More
ach month.","Founded: January 01, 2006","Content Marketing,Content Discovery,Internet,Digital Marketing",194000000
0,Workflowy,"WorkFlowy is an organizational tool that makes life easier. It's a surprisingly powerful way to take notes, make lists, collaborate, brainstorm, plan and generally organize your brain.","Founded: January 01, 2010","Productivity,Personal,Planning,Project Management,Web Apps",0
0,JotForm Instant,"JotForm Instant - Imagine picking a form from 2500 ready-to-use form templates. You can pick any form template, add your email address to the URL and voila! You have a form that can send emails to you.","Founded: January 01, 2006","Web Forms,Online Forms,Forms,Software",0
0,Trakt.tv,"Trakt is a TV show and movie recommendation service. We're different than other sites since we automatically keep a record of what you are watching and don't rely on manual check ins. We are a social platform with a strong communi...
See More
ty emphasis. Just browse around the site and you'll see how the community drives the content. Everything from trending shows and movies to personal recommendations are directly influenced by the trakt community.

Trakt is also a great way to keep a comprehensive history of all tv shows and movies you have watched. Use one of our supported media center plugins and start sending us this data automatically. Once it's setup, we'll keep tracking your history effortless","Founded: September 01, 2010","Social,Movies,Tv Shows,Community,Recommendations,Services,Developer APIs,Media and Entertainment,TV",0
0,Betterment,"Betterment - We have developed software that seamlessly invests your money into both stocks and bonds and maximizes your returns for a selected amount of risk. Using our online platform, tell us your financial goals and we'll auto...
See More
matically balance risk and reward to get you there. Our advice: Set it and forget it. We'll do the math for you and take the mystery out of long-term investing.","Founded: August 25, 2008","Investment,Investing,Financial,Fintech,Finance,Financial Services,Impact Investing",275000000
0,Testbook,"Testbook is an EdTech company - founded by IIT graduates - committed to provide the best online learning experience.

Most Trusted Online Test Series for Exam Prep. Free Mock Tests - SSC CGL, IBPS PO, SSC MTS, IBPS RRB, SSC Stenog...
See More
rapher, RRB NTPC, GATE 2018, SSC CPO, UIIC Assistant, SSC JE, OICL AO, Delhi Police Constable and Other Competitive Exams

Testbook is an EdTech company - founded by IIT graduates - committed to provide the best online learning experience for Online Competitive Exams.","Founded: April 01, 2013","Contests,Exams,Learning,Online,Students,Edtech,Education",4250000
0,Blinkist,"Blinkist is a mobile reading app that offers an easier way to access great knowledge during your daily routines. Read when it suits you, whenever and wherever.","Founded: August 21, 2012","Read,Reading,Reading Apps,Apps,Education",14800000
0,ClearTax,ClearTax is the largest e-Filing website in India. ClearTax's software helps people prepare and file their returns in minutes as opposed to hours. ClearTax makes cloud based financial software easy and enjoyable to use.,"Founded: January 01, 2011","Software,Tax,Financial,Web,Accounting,Fintech,Apps",15420000
0,Creately,"Creately - A diagram software with real-time collaboration, perfect for teams to work together on flowcharts, wire-frames, business processes and many more diagram types.",,"Design,Collaboration,Diagrams",0
0,Yola,"Yola is a leading SaaS provider of website services focused on helping small and medium-sized businesses build and grow their online presence.

Build a beautiful mobile-friendly website in minutes. Grow your business online with S...
See More
EO tools. Start for free, no tech experience needed. www.yola.com","Founded: March 01, 2007","Internet,Small and Medium Businesses,Web Development,Web Hosting",0
0,Pixlr,"Pixlr - Faça variadas editaçoes de fotos!

Pixlr Editor is a free, advanced image editor that has all the tools a professional graphic designer might need. And it's totally free!","Founded: August 17, 2008","Mobile,Photos,Pictures,Web,Editing,Cloud Computing,Photography,Software",0
0,Chartbeat,"Chartbeat gives you real-time information about your site in an instantly gettable way. Through our dashboards and APIs, you'll get live stats about your site's visitor behavior - from traffic stats, to engagement metrics, to geog...
See More
raphic data and everything in between.","Founded: April 02, 2009","Analytics,Big Data,Real Time,Website Analysis,Advertising,Content",32100000
0,Genially,"Genially is the world-leader in interactive visual communication. Use Genially as your all-in-one online tool to create stunning presentations, interactive images, infographics, dossiers, quizzes, resumes, etc. and enrich them wit...
See More
h interactivity and animation effects in seconds. 

You no longer need a team of designers and programmers to make an impact with striking, visual communication in a flash. Use interactive and animated effects to easily distribute information in layers that viewers can explore and discover. Leave outdated content creation software behind, and stun and engage your audience with Genially. The Wow Effect is just a few clicks away.

Choose from over 1000 templates, or start from scratch. Join a community of millions of users worldwide that includes businesspeople, teachers, marketers, designers and companies like Hulu, Danone, Michelin and Heineken. The future of communication awaits you.","Founded: February 02, 2015","Resources,Tools,Web,Presentations,Interactive Video,Online Presentations,Software,Content Creators,Content,Social Media",6075000
0,Ecwid,"Ecwid - Free shopping cart that can be integrated with any site in 5 minutes (really). Simply copy and paste directly into your existing site, blog or Facebook page.","Founded: September 01, 2009","Shopping Cart,Websites,Facebook,Copy & Paste,E-Commerce,Point Of Sale,Social Network",0
0,Ashley Madison,"Ashley Madison is the most famous name in infidelity and married dating. As seen on Hannity,Howard Stern,TIME,BusinessWeek,Sports Illustrated,Maxim,USA Today. Ashley Madison is the most recognized and reputablemarried dating compa...
See More
ny.Our Married Dating Services for Married individuals Work. Ashley Madison is the most successful website forfinding an affairand cheating partners. Have an Affair today on Ashley Madison. Thousands ofcheating wivesand cheating husbands signup everyday looking for an affair. We are the most famous website fordiscreet encountersbetween married individuals. Married Dating has never been easier. With Our affair guarantee package we guarantee you will find the perfect affair partner. Sign up for Free today.","Founded: January 01, 2002","Dating,Social,Social Network",0
0,Mobirise,Mobirise - Create awesome mobile-friendly websites. No coding and free.,"Founded: May 01, 2005","Mobile,Web Design,Websites,Website Builder,Web,Software,Internet,Apps,Developer Tools,Semantic Web,Android,Web Development",0
0,RenderForest,"RenderForest is free online video production platform which allows individuals and businesses create broadcast quality videos including wedding, family and traveling photo slideshows, explainer and promotional videos, logo animati...
See More
ons, kinetic typography and much more.","Founded: May 01, 2013","Broadcasting,Platform,Videos,Web,Production,Video Editing",0
0,ArabiaWeather,"ArabiaWeather is the leading provider of weather products, services, and solutions to consumers and businesses in the Middle East. Our web properties and mobile applications serve millions of consumers across the Middle East, prov...
See More
iding them with timely, accurate, and localized weather information in the Arabic language. We also provide weather solutions to businesses across the region, including those in the media, airline, insurance, oil and gas, agriculture, retail, and other sectors. These solutions help businesses save costs, enhance safety, and drive efficiencies in their operations.

ArabiaWeather's technology runs on proprietary and hyper-localized data and algorithms. We have over 45 employees in Amman and Dubai, including a team of experts and meteorologists who work closely to support and deliver value to our clients.

For more about ArabiaWeather's consumer products and services, please visit www.ArabiaWeather.com. For more about ArabiaWeather's business solutions and services, please visit http://corporate.ArabiaWeather.com/.",,"Consumers,Products,Services,Solutions,Weather,Web",0
0,SendinBlue,"SendinBlue - Easily manage your Marketing campaigns, Transactional Emails, and SMS messages all in one simple and powerful platform.

Affordable Email & SMS marketing solution with top features, simple interface and great results....
See More
 Discover how far SendinBlue can take you!

SendinBlue is an innovative web-based solution that allows businesses of all sizes to send marketing emails and SMS. SendinBlue is aimed at both beginners and experts alike. The creation of a newsletter, management of contacts, and tracking of results (Open rate, Click rate, etc.) are finally in a user-friendly platform for everyone.","Founded: January 01, 2012","Campaigns,Marketing,Platform,Web,Emails,Tracking,Developer APIs,Digital Marketing,Email,Email Marketing,Enterprise Software,Marketing Automation,Sms",37230000
0,Segment,"Segment is the customer data platform that developers and analysts love because of its elegant APIs and extensive partner ecosystem. As the single point of data collection and distribution, Segment puts customer data to work acros...
See More
s hundreds of marketing and analytics applications. Segment is trusted by thousands of companies, including Atlassian, Bonobos, Instacart, Intuit and Product Hunt.","Founded: December 12, 2012","Analytics,Marketing,Advertising,API,TagManagement,Integration,SaaS,IOS,Android,PHP,Ruby,Node.js,WordPress,Apps,Developer APIs,Social Media",108720000
0,Twoo,"Life is better with Twoo. This social discovery site is created to bring young & fun-loving people together to meet up with each other.

Twoo is the fastest growing place to chat, search, share photos and play fun introductory g...
See More
ames.","Founded: February 01, 2010",Messaging,0
0,ivi.ru,"ivi.ru - The largest legal online Russian cinema. We have a huge collection of movies and documentaries, TV series, TV shows, cartoons and music videos - more than 65,000 videos! And it is constantly updated. Even now. And now, to...
See More
o.","Founded: February 01, 2010","Cinema,Movies,Music,TV,Cartoons,Internet,Video,Video Streaming",43500000
0,BuySellAds,BuySellAds helps online advertisers and website publishers buy and sell ads better.,"Founded: February 01, 2008","Advertisements,Advertising,Buy,Sell,Ads",0
0,The Muse,"The Muse is a career platform that helps people figure out what they want to do with their lives -- and then how to get there -- by surfacing job listings, career content and rich media profiles from a spectrum of retail, tech and...
See More
 media companies.

The Muse helps people navigate their entire career journey. We offer expert advice alongside a job search experience that’s engaging and doesn’t suck. 

We help companies recruit top talent from a diverse pool of qualified candidates by showing our millions of readers what it’s like to work there before they even apply.","Founded: September 06, 2011","Career Planning,Employment,Recruiting,SaaS",28700000
0,OneSignal,"OneSignal is a completely free multi-platform push notification solution for mobile and web developers. OneSignal supports all major mobile devices and web push with features including segmentation, A/B testing, realtime analytics...
See More
, and an easy to use API.","Founded: January 01, 2014","Analytics,Developers,Mobile,Platform,Web,Notifications,Apps,Developer Tools,App Marketing,Marketing,Marketing Automation,Advertising Platforms,Digital Marketing",0
0,Woorank,"Every day, more than 30,000 companies rely on WooRank to analyze their websites and receive clear, actionable insights on how they can be optimized.

WooRank’s easy-to-use Web-based software generates instant website reviews tha...
See More
t offer a ton of valuable data combined with a list of comprehensive tasks; helping businesses and online marketers achieve higher search engine rankings, convert more visitors into customers, keep track of their competitors and get more return on their digital marketing investments.","Founded: July 18, 2011","Analytics,Digital Marketing,Inbound Marketing,Local,Local Businesses,Marketing,Mobile Marketing,SEO,Social Media,Websites,Small Business,Website Analysis,Website Statistics,SEO Platform,SEO Software,Small and Medium Businesses,Enterprise Software",0
0,Cashkaro,"Cashkaro is one of a new breed of online portals in India that offers deal coupons along with cashback when shopping online.

CashKaro is India's No.1 Cashback & Coupons site where you can get upto 30% CASHBACK when you shop at Am...
See More
azon.in, Jabong, Flipkart & 1500 retailers via us!

With CashKaro.com you can now EARN CASHBACK every time you shop online with retailers like Paytm, Jabong, Shopclues, Nykaa & 1500 more! Just visit CashKaro.com and then go to the website/s of your choice from here. All you need to do is shop normally & Cashback will be auto applied on checkout!

What is Cashback?
When you visit retailers via CashKaro.com and shop online, retailers pay us commission and from this commission we pay you Cashback.

How can you earn Cashback?
All you need to do is visit retailers' website via CashKaro.com and your Cashback will track automatically! All cashback collects in your CashKaro account and can be redeemed as REAL CASH when you have minimum Rs 250 as confirmed Cashback.  

Which sites can you earn Cashback on?
We work with over 1500+ top websites in India and you can earn Cashback on almost all of them. We have partnered with Amazon.in, Flipkart, Nearbuy, ShopClues, Zivame, Dominos, MakeMyTrip & so many more!

Any Coupon Codes available?
Yes! With CashKaro, you can earn EXTRA CASHBACK over already available Coupon Codes on various online stores!

How do I get Paid?
Once you have collected minimum Rs 250 as Confirmed Cashback in your CashKaro account, it can be redeemed via a direct transfer to your bank account via NEFT or redeemed as Amazon Pay Balance/Flipkart Gift Vouchers.","Founded: November 01, 2012","Coupons,E-Commerce,Loyalty Programs",4550000
0,Aucfan,Aucfan - あらゆる商品の最安値が一発でわかる！ショッピング＆オークション価格比較・相場検索で日本ＮО.１総合サイト「オークファン」の公式Twitterアカウントです。「買うとき」も「売るとき」にも役立つ情報を発信していきます。,"Founded: June 01, 2007","Auctions,B2B,Big Data,E-Commerce,Marketplace,Search Engine",0
0,VWO,"VWO is the next generation of Visual Website Optimizer, the first popular A/B testing tool on the web. VWO will take A/B testing from being merely a tactic that works occasionally to make it a fundamental way of driving consistent...
See More
 business growth.",,"Analytics,SaaS,Web Design,Optimization,User Testing",0
0,NationBuilder,"NationBuilder is the manifestation of an internet-based worldview of how to be effective in the digital age. The essential toolkit for leaders.

NationBuilder is software for leaders. The company was founded in November 2009 by ...
See More
CEO Jim Gilliam and launched in April 2011. NationBuilder is based in downtown Los Angeles with offices in New York, Washington DC, Vancouver, and London.","Founded: October 31, 2009","Community Management,Organizations,Web,CRM,Email Marketing,Campaigns,Advocacy,NonProfits,Politics,CMS,Enterprise Software,Internet,SaaS,Software",21050000
0,hola!,"Hola is making the Internet better, faster and more open. Hola lets you browse faster, access content blocked by your government, company or ISP and much more.","Founded: March 01, 2008","Browser,Browser Addon,Browser Extensions,Fast,Web,Peer To Peer,Internet",0
